URL,Done
https://i.i-sgcm.com/directory/reviewphotos/11296/56570_2.jpg,Yes,3
https://i.i-sgcm.com/directory/reviewphotos/11296/56570_1.jpg,Yes,2
https://i.i-sgcm.com/directory/reviewphotos/11296/56762_1.jpg,Yes,1
https://www.sgcarmart.com/directory/merchant_reviews.php?BRSR=75&MID=11296&ORD=relevance,Yes,12
https://www.sgcarmart.com/directory/merchant_reviews.php?BRSR=105&MID=11296&ORD=relevance,Yes,9
https://www.sgcarmart.com/directory/merchant_reviews.php?MID=11296,Yes,4
https://www.sgcarmart.com/directory/merchant_reviews.php?BRSR=30&MID=11296&ORD=relevance,Yes,5
https://www.sgcarmart.com/directory/merchant_reviews.php?BRSR=60&MID=11296&ORD=relevance,Yes,8
https://www.sgcarmart.com/directory/merchant_reviews.php?BRSR=120&MID=11296&ORD=relevance,Yes,10
https://www.sgcarmart.com/directory/merchant_reviews.php?BRSR=90&MID=11296&ORD=relevance,Yes,11
https://www.sgcarmart.com/directory/merchant_reviews.php?BRSR=15&MID=11296&ORD=relevance,Yes,6
https://www.sgcarmart.com/directory/merchant_reviews.php?BRSR=45&MID=11296&ORD=relevance,Yes,7
